archivo,carpeta_origen,ciudad_detectada,duracion_s
MEX_009_02_15_EN_05.wav,data/ciudad_de_mexico/enunciativas,mexico,5.89
MEX_009_02_15_EN_06.wav,data/ciudad_de_mexico/enunciativas,mexico,4.51
MEX_009_02_15_EN_07.wav,data/ciudad_de_mexico/enunciativas,mexico,4.43
MEX_009_02_15_EN_08.wav,data/ciudad_de_mexico/enunciativas,mexico,5.11
MEX_009_02_15_EN_09.wav,data/ciudad_de_mexico/enunciativas,mexico,4.51
MEX_001_02_15_DEC_01.wav,data/ciudad_de_mexico/declarativas,mexico,3.28
MEX_001_02_15_DEC_02.wav,data/ciudad_de_mexico/declarativas,mexico,4.66
MEX_001_02_15_DEC_03.wav,data/ciudad_de_mexico/declarativas,mexico,1.66
MEX_001_02_15_DEC_04.wav,data/ciudad_de_mexico/declarativas,mexico,5.92
MEX_001_02_15_DEC_05.wav,data/ciudad_de_mexico/declarativas,mexico,1.48
MEX_002_02_15_DEC_01.wav,data/ciudad_de_mexico/declarativas,mexico,3.1
MEX_002_02_15_DEC_02.wav,data/ciudad_de_mexico/declarativas,mexico,5.81
MEX_002_02_15_DEC_03.wav,data/ciudad_de_mexico/declarativas,mexico,3.31
MEX_002_02_15_DEC_04.wav,data/ciudad_de_mexico/declarativas,mexico,2.03
MEX_002_02_15_DEC_05.wav,data/ciudad_de_mexico/declarativas,mexico,1.71
MEX_003_03_15_DEC_01.wav,data/ciudad_de_mexico/declarativas,mexico,5.37
MEX_003_03_15_DEC_02.wav,data/ciudad_de_mexico/declarativas,mexico,2.31
MEX_003_03_15_DEC_03.wav,data/ciudad_de_mexico/declarativas,mexico,7.01
MEX_003_03_15_DEC_04.wav,data/ciudad_de_mexico/declarativas,mexico,0.95
MEX_003_03_15_DEC_05.wav,data/ciudad_de_mexico/declarativas,mexico,8.9
MEX_005_03_20_DEC_01.wav,data/ciudad_de_mexico/declarativas,mexico,4.82
MEX_005_03_20_DEC_02.wav,data/ciudad_de_mexico/declarativas,mexico,2.31
MEX_005_03_20_DEC_03.wav,data/ciudad_de_mexico/declarativas,mexico,3.12
MEX_005_03_20_DEC_04.wav,data/ciudad_de_mexico/declarativas,mexico,5.08
MEX_005_03_20_DEC_05.wav,data/ciudad_de_mexico/declarativas,mexico,3.51
MEX_009_02_15_DEC_01.wav,data/ciudad_de_mexico/declarativas,mexico,4.3
MEX_009_02_15_DEC_02.wav,data/ciudad_de_mexico/declarativas,mexico,4.43
MEX_009_02_15_DEC_03.wav,data/ciudad_de_mexico/declarativas,mexico,4.12
MEX_009_02_15_DEC_04.wav,data/ciudad_de_mexico/declarativas,mexico,4.4
MEX_009_02_15_DEC_05.wav,data/ciudad_de_mexico/declarativas,mexico,1.82
MEX_009_02_15_DEC_06.wav,data/ciudad_de_mexico/declarativas,mexico,3.62
HAV_001_02_12_EN_01.wav,data/la_habana/enunciativas,habana,6.07
HAV_001_02_12_EN_02.wav,data/la_habana/enunciativas,habana,1.89
HAV_001_02_12_EN_03.wav,data/la_habana/enunciativas,habana,3.59
HAV_001_02_12_EN_04.wav,data/la_habana/enunciativas,habana,2.52
HAV_001_02_12_EN_05.wav,data/la_habana/enunciativas,habana,5.32
HAV_001_02_12_EN_06.wav,data/la_habana/enunciativas,habana,5.24
HAV_001_02_12_EN_07.wav,data/la_habana/enunciativas,habana,1.71
HAV_001_02_12_DEC_01.wav,data/la_habana/declarativas,habana,1.48
HAV_001_02_12_DEC_02.wav,data/la_habana/declarativas,habana,2.23
HAV_001_02_12_DEC_03.wav,data/la_habana/declarativas,habana,2.81
HAV_001_02_12_DEC_04.wav,data/la_habana/declarativas,habana,4.09
HAV_001_02_12_DEC_05.wav,data/la_habana/declarativas,habana,1.92
HAV_001_02_12_DEC_06.wav,data/la_habana/declarativas,habana,1.82
